,country,metric,load_dt
0,Andorra,"44,6",2020-07-26 23:10:36.931245
1,Austria,"17,3*",2020-07-26 23:10:36.931245
2,Belgia,"19,4",2020-07-26 23:10:36.931245
3,Bulgaaria,"45,4",2020-07-26 23:10:36.931245
4,Hispaania,"34,6",2020-07-26 23:10:36.931245
5,Holland,"9,3",2020-07-26 23:10:36.931245
6,Horvaatia,"29,9",2020-07-26 23:10:36.931245
7,Iirimaa,"5,3",2020-07-26 23:10:36.931245
8,Island,"2,2",2020-07-26 23:10:36.931245
9,Itaalia,"4,9",2020-07-26 23:10:36.931245
10,Kreeka,"4,1",2020-07-26 23:10:36.931245
11,Küpros,"4,0",2020-07-26 23:10:36.931245
12,Leedu,"3,7",2020-07-26 23:10:36.931245
13,Liechtenstein,"5,2",2020-07-26 23:10:36.931245
14,Luksemburg,"200,8",2020-07-26 23:10:36.931245
15,Läti,"2,6",2020-07-26 23:10:36.931245
16,Malta,"1,2",2020-07-26 23:10:36.931245
17,Monaco,"18,1",2020-07-26 23:10:36.931245
18,Norra,"2,0",2020-07-26 23:10:36.931245
19,Poola,"12,2",2020-07-26 23:10:36.931245
20,Portugal,"39,9",2020-07-26 23:10:36.931245
21,Prantsusmaa,"13,9",2020-07-26 23:10:36.931245
22,Rootsi,"43,3",2020-07-26 23:10:36.931245
23,Rumeenia,"54,0",2020-07-26 23:10:36.931245
24,Saksamaa,"7,2",2020-07-26 23:10:36.931245
25,San Marino,"5,8",2020-07-26 23:10:36.931245
26,Slovakkia,"4,4",2020-07-26 23:10:36.931245
27,Sloveenia,"12,4",2020-07-26 23:10:36.931245
28,Soome,"1,5",2020-07-26 23:10:36.931245
29,Šveits,"16,5*",2020-07-26 23:10:36.931245
30,Tšehhi,"17,7",2020-07-26 23:10:36.931245
31,Ungari,"1,8",2020-07-26 23:10:36.931245
32,Vatikan,"0,0",2020-07-26 23:10:36.931245
33,Ühendkuningriik,"14,3",2020-07-26 23:10:36.931245
