,country,metric,load_dt
0,Andorra,"28,5",2020-07-20 23:10:13.652204
1,Austria,"14,6",2020-07-20 23:10:13.652204
2,Belgia,"13,0",2020-07-20 23:10:13.652204
3,Bulgaaria,"39,2",2020-07-20 23:10:13.652204
4,Hispaania,"17,8",2020-07-20 23:10:13.652204
5,Holland,"5,5",2020-07-20 23:10:13.652204
6,Horvaatia,"27,5",2020-07-20 23:10:13.652204
7,Iirimaa,"4,2",2020-07-20 23:10:13.652204
8,Island,"17,9",2020-07-20 23:10:13.652204
9,Itaalia,"4,6",2020-07-20 23:10:13.652204
10,Kreeka,"4,6",2020-07-20 23:10:13.652204
11,Küpros,"2,7",2020-07-20 23:10:13.652204
12,Leedu,"2,8",2020-07-20 23:10:13.652204
13,Liechtenstein,"5,2",2020-07-20 23:10:13.652204
14,Luksemburg,"116,1",2020-07-20 23:10:13.652204
15,Läti,"3,0",2020-07-20 23:10:13.652204
16,Malta,"0,9",2020-07-20 23:10:13.652204
17,Norra,"2,1",2020-07-20 23:10:13.652204
18,Poola,"10,3",2020-07-20 23:10:13.652204
19,Portugal,"48,9",2020-07-20 23:10:13.652204
20,Prantsusmaa,"11,4",2020-07-20 23:10:13.652204
21,Rootsi,"61,8",2020-07-20 23:10:13.652204
22,Rumeenia,"37,7",2020-07-20 23:10:13.652204
23,Saksamaa,"6,2",2020-07-20 23:10:13.652204
24,San,Marino,2020-07-20 23:10:13.652204
25,Slovakkia,"4,6",2020-07-20 23:10:13.652204
26,Sloveenia,"12,7",2020-07-20 23:10:13.652204
27,Soome,"0,9",2020-07-20 23:10:13.652204
28,Šveits,"15,3",2020-07-20 23:10:13.652204
29,Taani,"5,3",2020-07-20 23:10:13.652204
30,Tšehhi,"13,4",2020-07-20 23:10:13.652204
31,Ungari,"1,2",2020-07-20 23:10:13.652204
32,Vatikan,"0,0",2020-07-20 23:10:13.652204
33,Ühendkuningriik,"13,0",2020-07-20 23:10:13.652204
