,country,metric,load_dt
0,Andorra,"44,6",2020-07-28
1,Austria,"17,3*",2020-07-28
2,Belgia,"19,4",2020-07-28
3,Bulgaaria,"45,4",2020-07-28
4,Hispaania,"34,6",2020-07-28
5,Holland,"9,3",2020-07-28
6,Horvaatia,"29,9",2020-07-28
7,Iirimaa,"5,3",2020-07-28
8,Island,"2,2",2020-07-28
9,Itaalia,"4,9",2020-07-28
10,Kreeka,"4,1",2020-07-28
11,Küpros,"4,0",2020-07-28
12,Leedu,"3,7",2020-07-28
13,Liechtenstein,"5,2",2020-07-28
14,Luksemburg,"200,8",2020-07-28
15,Läti,"2,6",2020-07-28
16,Malta,"1,2",2020-07-28
17,Monaco,"18,1",2020-07-28
18,Norra,"2,0",2020-07-28
19,Poola,"12,2",2020-07-28
20,Portugal,"39,9",2020-07-28
21,Prantsusmaa,"13,9",2020-07-28
22,Rootsi,"43,3",2020-07-28
23,Rumeenia,"54,0",2020-07-28
24,Saksamaa,"7,2",2020-07-28
25,San Marino,"5,8",2020-07-28
26,Slovakkia,"4,4",2020-07-28
27,Sloveenia,"12,4",2020-07-28
28,Soome,"1,5",2020-07-28
29,Šveits,"16,5*",2020-07-28
30,Taani,"8,2",2020-07-28
31,Tšehhi,"17,7",2020-07-28
32,Ungari,"1,8",2020-07-28
33,Vatikan,"0,0",2020-07-28
34,Ühendkuningriik,"14,3",2020-07-28
